Ad_ID,Property_Type,Location_Detail,Price,Area,Bedrooms,Bathrooms,Latitude,Longitude,Date_Added,Price per marla,Price per marla per bedroom,Location_specific,Locality
52041681,House,"DHA Phase 5, DHA Defence, Lahore",129900000,20,6,6,31.458686,74.406624,5/30/2025,6495000,1082500,DHA Phase 5, DHA Defence
52448365,House,"Park View City, Lahore",16000000,5,4,5,31.453414,74.202003,5/30/2025,3200000,800000,Park View City,Park View City
49660359,House,"TECH Society - Block C, TECH Society, Lahore",155000000,32,5,5,31.488626,74.284816,5/30/2025,4843750,968750,TECH Society - Block C, TECH Society
52451648,House,"Park View City, Lahore",17500000,5,4,5,31.453414,74.202003,5/30/2025,3500000,875000,Park View City,Park View City
52445349,House,"DHA Phase 1, DHA Defence, Lahore",139900000,40,5,6,31.483283,74.395723,5/30/2025,3497500,699500,DHA Phase 1, DHA Defence
52005893,House,"DHA Phase 6, DHA Defence, Lahore",139900000,20,5,6,31.468862,74.463358,5/30/2025,6995000,1399000,DHA Phase 6, DHA Defence
48807010,Flat,"The Spring Apartment Homes, Main Canal Bank Road, Lahore",11500000,4,1,1,31.413029,74.168558,5/30/2025,2875000,2875000,The Spring Apartment Homes, Main Canal Bank Road
52005786,House,"DHA Phase 6, DHA Defence, Lahore",240000000,20,6,6,31.478672,74.473186,5/30/2025,12000000,2000000,DHA Phase 6, DHA Defence
52005852,House,"DHA Phase 6, DHA Defence, Lahore",87500000,20,5,6,31.473401,74.457264,5/30/2025,4375000,875000,DHA Phase 6, DHA Defence
52005826,House,"DHA Phase 6, DHA Defence, Lahore",87500000,20,5,6,31.466007,74.448338,5/30/2025,4375000,875000,DHA Phase 6, DHA Defence
51298782,House,"DHA Phase 8, DHA Defence, Lahore",82500000,20,6,5,31.488411,74.45397,5/30/2025,4125000,687500,DHA Phase 8, DHA Defence
51299006,House,"DHA Phase 7, DHA Defence, Lahore",69000000,20,5,6,31.45217,74.489794,5/30/2025,3450000,690000,DHA Phase 7, DHA Defence
52601147,House,"DHA Phase 6, DHA Defence, Lahore",750000000,60,6,7,31.471571,74.445906,5/30/2025,12500000,2083333.333,DHA Phase 6, DHA Defence
48886987,House,"DHA Phase 7, DHA Defence, Lahore",67000000,20,5,6,31.465056,74.478035,5/30/2025,3350000,670000,DHA Phase 7, DHA Defence
52005871,House,"DHA Phase 6, DHA Defence, Lahore",95000000,20,5,6,31.48116,74.456792,5/30/2025,4750000,950000,DHA Phase 6, DHA Defence
52564555,House,"DHA Phase 6, DHA Defence, Lahore",75000000,20,5,6,31.471571,74.445906,5/30/2025,3750000,750000,DHA Phase 6, DHA Defence
52613243,House,"Defence Raya, DHA Defence, Lahore",159500000,34,5,7,31.469155,74.470553,5/30/2025,4691176.471,938235.2941,Defence Raya, DHA Defence
52653347,House,"Central Park - Block A, Central Park Housing Scheme, Lahore",100000000,20,7,6,31.321711,74.38272,5/30/2025,5000000,714285.7143,Central Park - Block A, Central Park Housing Scheme
52576020,House,"Park View City, Lahore",17500000,5,4,4,31.453414,74.202003,5/30/2025,3500000,875000,Park View City,Park View City
52592562,House,"DHA Phase 7, DHA Defence, Lahore",71900000,20,5,6,31.484454,74.483871,5/30/2025,3595000,719000,DHA Phase 7, DHA Defence
52619685,House,"DHA Phase 6, DHA Defence, Lahore",110000000,20,5,6,31.466007,74.448338,5/30/2025,5500000,1100000,DHA Phase 6, DHA Defence
52644369,Farm House,"BRB Canal Road, Lahore",150000000,480,3,3,31.315685,74.506636,5/30/2025,312500,104166.6667,BRB Canal Road,BRB Canal Road
52650575,Flat,"Bahria Orchard Phase 4, Bahria Orchard, Lahore",5300000,5,2,2,31.31089052,74.24431767,5/30/2025,1060000,530000,Bahria Orchard Phase 4, Bahria Orchard
52041681,House,"DHA Phase 5, DHA Defence, Lahore",129900000,20,6,6,31.458686,74.406624,5/30/2025,6495000,1082500,DHA Phase 5, DHA Defence
52315166,House,"Lake City, Raiwind Road, Lahore",23500000,5,3,4,31.359647,74.253073,5/30/2025,4700000,1566666.667,Lake City, Raiwind Road
